Product,Name,Product ISIN,Product Line,Product Type,Product Type Symbol,Liquidity Class,Trading Environment,Partition,Currency,US Approval Type,Settlement Type,Contract Size,Tick Size,Tick Value,Max Order Qty (TSL),Max TES Qty (TSL),Max Future Spread Qty (TSL),Max Market Order Qty,Position Limit,Pre Trade Limits,Underlying,Underlying ISIN,Underlying Name,Underlying Category
1ADS,STF on ADIDAS,DE000A2L0K83,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ADS,DE000A1EWWW0,ADIDAS AG,STOCK_EQUITIES
1AHO,STF on AHOLD DELHAIZE,DE000A2L0K91,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AHO,NL0011794037,AHOLD DELHAIZE N.V.,STOCK_EQUITIES
1AI3,STF ON AMADEUS IT GROUP SA,DE000A2RPPN7,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AI3A,ES0109067019,AMADEUS IT GRP SA,STOCK_EQUITIES
1AIR,STF ON AIR LIQUIDE,DE000A2L0LA6,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AIR,FR0000120073,AIR LIQUIDE,STOCK_EQUITIES
1ALV,STF ON ALLIANZ,DE000A2L0LC2,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ALV,DE0008404005,ALLIANZ SE,STOCK_EQUITIES
1ASM,STF ON ASML HOLDING,DE000A2L0LE8,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ASM,NL0010273215,ASML HOLDING,STOCK_EQUITIES
1AXA,STF ON AXA,DE000A2L0LF5,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AXA,FR0000120628,AXA,STOCK_EQUITIES
1BAS,STF ON BASF AG,DE000A2L0LG3,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BAS,DE000BASF111,BASF SE,STOCK_EQUITIES
1BAY,STF ON BAYER AG,DE000A2L0LH1,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BAY,DE000BAY0017,BAYER AG,STOCK_EQUITIES
1BBV,STF ON BANCO BILBAO VIZCAYA AR,DE000A2L0LJ7,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BOY,ES0113211835,BCO.BIL.VIZ.ARG.,STOCK_EQUITIES
1BMW,STF ON BMW AG,DE000A2L0LL3,FUTURE,STOCK TRACKING FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999998,TES only,BMW,DE0005190003,BMW AG,STOCK_EQUITIES
