ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
AT0000A0E9W5,SANT,S+T AG (Z.REG.MK.Z.)O.N.,Common stock,EUR,2504159,2020-11-24,08:00,18.94,18.94,18.87,18.87,1183,3
DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2020-11-24,08:00,47.96,48.02,47.96,48.02,2081,2
DE000A0D6554,NDX1,NORDEX SE O.N.,Common stock,EUR,2504290,2020-11-24,08:00,19.9,19.95,19.84,19.93,42563,15
DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2020-11-24,08:00,199.65,200.1,199.65,199.7,3963,19
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2020-11-24,08:00,41.29,41.31,41.28,41.28,12100,8
DE000A0LAUP1,CE2,CROPENERGIES AG,Common stock,EUR,2504376,2020-11-24,08:00,13.4,13.4,13.4,13.4,73,2
DE000A0LD2U1,AOX,ALSTRIA OFFICE REIT-AG,Common stock,EUR,2504379,2020-11-24,08:00,13.8,13.83,13.8,13.81,2249,9
DE000A0LD6E6,GXI,GERRESHEIMER AG,Common stock,EUR,2504380,2020-11-24,08:00,98.8,98.8,98.7,98.8,2097,9
DE000A0S8488,HHFA,HAMBURG.HAFEN LOG.A-SP NA,Common stock,EUR,2504409,2020-11-24,08:00,18.46,18.46,18.4,18.4,307,4
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Common stock,EUR,2504428,2020-11-24,08:00,11.225,11.265,11.225,11.265,3534,4
DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.,Common stock,EUR,2504438,2020-11-24,08:00,17.1,17.1,17.07,17.095,7439,14
DE000A1DAHH0,BNR,BRENNTAG AG NA O.N.,Common stock,EUR,2504453,2020-11-24,08:00,63.96,63.96,63.7,63.86,2285,17
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2020-11-24,08:00,281.6,281.9,281,281.5,5490,24
DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG NA,Common stock,EUR,2504492,2020-11-24,08:00,2.299,2.3,2.299,2.299,39319,6
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2020-11-24,08:00,56.42,56.48,56.42,56.44,26883,23
DE000A1MMCC8,ILM1,MEDIOS AG  O.N.,Common stock,EUR,2504502,2020-11-24,08:00,29.6,29.6,29.4,29.4,118,3
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2020-11-24,08:00,26.77,26.99,26.77,26.88,11949,20
DE000A1TNUT7,DBAN,DT.BETEILIG.AG   NA O.N.,Common stock,EUR,2504519,2020-11-24,08:00,34.45,34.45,34.45,34.45,197,1
DE000A1X3XX4,DIC,DIC ASSET AG NA O.N.,Common stock,EUR,2504532,2020-11-24,08:00,12.42,12.48,12.42,12.44,3195,9
DE000A12DM80,G24,SCOUT24 AG NA O.N.,Common stock,EUR,2504556,2020-11-24,08:00,63.5,63.55,63.35,63.35,3712,15
DE000A13SX22,HLE,HELLA GMBH+CO. KGAA O.N.,Common stock,EUR,2504580,2020-11-24,08:00,47.54,47.68,47.54,47.68,1026,3
