ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
DE000P0YX7V7,OESX,SX5E,EU0009658145,EUR,OPT,20201218,2700,Put,OESX SI 20201218 CS EU P 2700 0,1,27235,2020-11-24,08:00,1.6,1.6,1.6,1.6,15,1
DE000P0YX6U1,OESX,SX5E,EU0009658145,EUR,OPT,20201218,3200,Put,OESX SI 20201218 CS EU P 3200 0,1,27245,2020-11-24,08:00,11.7,11.7,11.7,11.7,1,1
DE000P0YXUY1,OESX,SX5E,EU0009658145,EUR,OPT,20201218,3400,Put,OESX SI 20201218 CS EU P 3400 0,1,27249,2020-11-24,08:00,36,36,36,36,250,1
DE000C0YCCX0,OESX,SX5E,EU0009658145,EUR,OPT,20201218,3800,Call,OESX SI 20201218 CS EU C 3800 0,1,27255,2020-11-24,08:00,1.5,1.5,1.5,1.5,1,1
DE000P0YCWE3,OESX,SX5E,EU0009658145,EUR,OPT,20201218,3500,Put,OESX SI 20201218 CS EU P 3500 0,1,27256,2020-11-24,08:00,69.5,69.5,69.5,69.5,2,1
DE000P0UE7W2,OESX,SX5E,EU0009658145,EUR,OPT,20211217,2500,Put,OESX SI 20211217 CS EU P 2500 0,1,27739,2020-11-24,08:00,65.2,65.2,65.2,65.2,1,1
DE000F4ZCJ80,FEXD,,,EUR,FUT,20231215,,,FEXD SI 20231215 CS,,661060,2020-11-24,08:00,90.9,90.9,90.9,90.9,1,1
DE000C8BRKK9,ROY,ROY,GB00B03MLX29,EUR,OPT,20201218,14,Call,ROY SI 20201218 PS AM C 14.00 0,2,1564963,2020-11-24,08:00,1.14,1.14,1.14,1.14,3,1
DE000C8CMV66,CSGN,CSGN,CH0012138530,CHF,OPT,20201218,9.65,Call,CSGN SI 20201218 PS AM C 9.65 1,7,1635500,2020-11-24,08:00,1.8,1.8,1.8,1.8,1,1
DE000C0PZMY6,OSMI,SMI,CH0009980894,CHF,OPT,20201218,9400,Put,OSMI SI 20201218 CS EU P 9400 0,1,2272063,2020-11-24,08:00,14.2,14.2,14.2,14.2,4,1
DE000C0RW2D4,ROG,ROG,CH0012032048,CHF,OPT,20211217,400,Call,ROG SI 20211217 PS AM C 400.00 0,2,2302717,2020-11-24,08:00,1.11,1.11,1.11,1.11,20,1
DE000C00SMV4,CSGN,CSGN,CH0012138530,CHF,OPT,20201218,10,Call,CSGN SI 20201218 PS AM C 10.00 0,8,2447432,2020-11-24,08:00,1.5,1.5,1.5,1.5,3,1
DE000C1AQ0X2,ROG,ROG,CH0012032048,CHF,OPT,20211217,260,Put,ROG SI 20211217 PS AM P 260.00 0,2,2676004,2020-11-24,08:00,10,10,10,10,5,1
DE000C1KQ5M2,FMCN,MCN,XC000A1XQ6B0,USD,FUT,20201221,,,FMCN SI 20201221 CS,,2877028,2020-11-24,08:00,1188.3,1188.4,1188.3,1188.4,4,3
DE000C1KQ5R1,FMEA,MEA,XC000A1XQ578,USD,FUT,20201221,,,FMEA SI 20201221 CS,,2877032,2020-11-24,08:00,720.7,720.8,720.7,720.8,24,6
DE000C23QBV3,FESX,SX5E,EU0009658145,EUR,FUT,20201218,,,FESX SI 20201218 CS,,3680980,2020-11-24,08:00,3492,3498,3490,3497,7542,585
DE000C24B2L1,SGSN,SGSN,CH0002497458,CHF,OPT,20201218,2400,Put,SGSN SI 20201218 PS AM P 2400.0 0,8,3704900,2020-11-24,08:00,6,6,6,6,1,1
DE000C31Y1X2,FESX,SX5E,EU0009658145,EUR,FUT,20210319,,,FESX SI 20210319 CS,,3906005,2020-11-24,08:00,3478,3478,3478,3478,1,1
DE000C3UM2H9,NOVN,NOVN,CH0012005267,CHF,OPT,20201218,76,Put,NOVN SI 20201218 PS AM P 76.00 0,1,3997530,2020-11-24,08:00,0.42,0.42,0.42,0.42,66,1
DE000C374C32,HOLN,HOLN,CH0012214059,CHF,OPT,20201218,54,Put,HOLN SI 20201218 PS AM P 54.00 0,1,4201288,2020-11-24,08:00,7,7,7,7,1,1
DE000C4D7S14,NESN,NESN,CH0038863350,CHF,OPT,20201218,90,Put,NESN SI 20201218 PS AM P 90.00 0,5,4345530,2020-11-24,08:00,0.2,0.2,0.2,0.2,10,1
DE000C4D9ZB9,NOVN,NOVN,CH0012005267,CHF,OPT,20201218,82,Call,NOVN SI 20201218 PS AM C 82.00 0,1,4347280,2020-11-24,08:00,0.72,0.72,0.72,0.72,1,1
DE000C4D9ZE3,NOVN,NOVN,CH0012005267,CHF,OPT,20201218,74,Put,NOVN SI 20201218 PS AM P 74.00 0,1,4347283,2020-11-24,08:00,0.3,0.3,0.3,0.3,10,1
DE000C430LM9,LONN,LONN,CH0013841017,CHF,OPT,20201218,520,Put,LONN SI 20201218 PS AM P 520.00 1,3,4736315,2020-11-24,08:00,4.9,4.9,4.9,4.9,1,1
DE000C4XT1U3,CONF,,,CHF,FUT,20201208,,,CONF SI 20201208 PS,,4878630,2020-11-24,08:00,172.18,172.18,172.18,172.18,1,1
DE000C4XT1X7,FBTP,,,EUR,FUT,20201208,,,FBTP SI 20201208 PS,,4878633,2020-11-24,08:00,151.21,151.22,151.2,151.21,116,33
DE000C4XT1Z2,FGBL,,,EUR,FUT,20201208,,,FGBL SI 20201208 PS,,4878635,2020-11-24,08:00,175.32,175.33,175.3,175.3,2087,149
DE000C4XT200,FGBM,,,EUR,FUT,20201208,,,FGBM SI 20201208 PS,,4878636,2020-11-24,08:00,135.44,135.44,135.42,135.42,2289,88
DE000C4XT218,FGBS,,,EUR,FUT,20201208,,,FGBS SI 20201208 PS,,4878637,2020-11-24,08:00,112.345,112.35,112.345,112.345,204,4
DE000C4XT226,FGBX,,,EUR,FUT,20201208,,,FGBX SI 20201208 PS,,4878638,2020-11-24,08:00,226.18,226.18,226.04,226.04,158,77
DE000C4XT242,FOAT,,,EUR,FUT,20201208,,,FOAT SI 20201208 PS,,4878640,2020-11-24,08:00,170.01,170.01,169.99,170,539,52
DE000C47BPZ5,FDAX,DAX,DE0008469008,EUR,FUT,20201218,,,FDAX SI 20201218 CS,,5035771,2020-11-24,08:00,13239.5,13257,13238,13249,763,578
DE000C47BQ10,FDXM,DAX,DE0008469008,EUR,FUT,20201218,,,FDXM SI 20201218 CS,,5035773,2020-11-24,08:00,13239,13256,13237,13250,428,289
DE000C47BQ51,FESB,SX7E,EU0009658426,EUR,FUT,20201218,,,FESB SI 20201218 CS,,5035777,2020-11-24,08:00,73.4,73.6,73.3,73.4,3257,54
DE000C47BQ77,FESE,SXEE,EU0009658400,EUR,FUT,20201218,,,FESE SI 20201218 CS,,5035779,2020-11-24,08:00,251.9,251.9,251.9,251.9,2,1
DE000C47BW46,FSMI,SMI,CH0009980894,CHF,FUT,20201218,,,FSMI SI 20201218 CS,,5035980,2020-11-24,08:00,10501,10519,10498,10509,504,257
